victim,sector,group,country,attackdate,discovered,domain,data_size,has_press,ransom
"CRESCENTHOTELS.COM","Hospitality and Tourism","clop","","2023-03-24","2023-03-24","CRESCENTHOTELS.COM","","",""
"CROWNRESORT.COM.AU","Hospitality and Tourism","clop","AU","2023-03-24","2023-03-24","CROWNRESORT.COM.AU","","",""
"Biman airlines","Hospitality and Tourism","moneymessage","BD","2023-03-23","2023-03-29","biman-airlines.com","","",""
"CINEPLEX.COM","Hospitality and Tourism","clop","","2023-03-23","2023-03-23","CINEPLEX.COM","","",""
"telepizza.com","Hospitality and Tourism","lockbit3","ES","2023-03-20","2023-03-20","telepizza.com","","",""
"southamericantours.com","Hospitality and Tourism","lockbit3","","2023-03-10","2023-03-10","southamericantours.com","","",""
"pmsoffice.de","Hospitality and Tourism","lockbit3","DE","2023-03-09","2023-03-09","pmsoffice.de","","",""
"Dancenter","Hospitality and Tourism","alphv","GB","2023-03-09","2023-07-26","dancenter.co.uk","","",""
"Sandals Resorts International","Hospitality and Tourism","blackbasta","LC","2023-03-08","2023-03-08","sandals.com","","",""
"Parques Reunidos","Hospitality and Tourism","bianlian","ES","2023-03-03","2023-03-03","parquesreunidos.com","","",""
"princepalace.co.th","Hospitality and Tourism","lockbit3","JP","2023-02-28","2023-02-28","princepalace.co.th","","",""
"Eureka Casino Resort","Hospitality and Tourism","medusa","","2023-02-13","2023-02-13","eurekamesquite.com","","",""
"greekpeak.net","Hospitality and Tourism","lockbit3","","2023-02-13","2023-02-13","greekpeak.net","","",""
"Westmont Hospitality Group","Hospitality and Tourism","alphv","","2023-01-31","2023-07-26","whg.com","","",""
"Trans Maldivian Airways","Hospitality and Tourism","ransomhouse","MV","2023-01-13","2023-01-13","transmaldivian.com","","",""
"Camst Group","Hospitality and Tourism","hive","","2022-12-30","2022-12-30","camstgroup.com ","","",""
"Waterloo Wellington Flight Centre","Hospitality and Tourism","royal","CA","2022-12-30","2022-12-30","wwfc.ca","","",""
"Centro Turistico Giovanile","Hospitality and Tourism","snatch","","2022-12-28","2022-12-28","","","",""
"TCL Chinese Theatres","Hospitality and Tourism","snatch","","2022-12-28","2022-12-28","","","",""
"Fantasy Springs Resort Casino","Hospitality and Tourism","royal","","2022-12-27","2022-12-27","fantasyspringsresort.com","","",""
"The Brigantine","Hospitality and Tourism","avoslocker","","2022-12-26","2022-12-26","","","",""
"TRAVELSTORE.COM","Hospitality and Tourism","clop","","2022-12-22","2022-12-22","travelstore.com","","",""
"MARNELLCOMPANIES.COM","Hospitality and Tourism","clop","","2022-12-22","2022-12-22","marnellcompanies.com","","",""
"The Chedi Muscat","Hospitality and Tourism","unsafe","","2022-12-21","2022-12-21","chedimuscat.com","","",""
"Barakat Travel Co","Hospitality and Tourism","unsafe","","2022-12-21","2022-12-21","barakattravel.com","","",""
"Zehnders of Frankenmuth","Hospitality and Tourism","royal","","2022-12-20","2022-12-20","","","",""
"Serena Hotels - Leaked","Hospitality and Tourism","ragnarlocker","","2022-12-20","2022-12-20","","","",""
"SparJames Hall & CompanyHeron and Brearley","Hospitality and Tourism","vicesociety","","2022-12-20","2022-12-20","","","",""
"H-Hotels","Hospitality and Tourism","play","","2022-12-18","2022-12-18","","","",""
"Eureka Casino Resort","Hospitality and Tourism","bianlian","","2022-12-15","2022-12-15","eurekamesquite.com","","",""
"The Summit","Hospitality and Tourism","karakurt","","2022-12-11","2022-12-11","","","",""
"Club Asteria Belek","Hospitality and Tourism","karakurt","","2022-12-11","2022-12-11","","","",""
"Golden Coin Bake Shop and Restaurant","Hospitality and Tourism","bianlian","","2022-12-05","2022-12-05","","","",""
"Jubilant","Hospitality and Tourism","alphv","LK","2022-11-30","2023-07-26","jubilantfoodworks.com","","",""
"AirAsia Group","Hospitality and Tourism","daixin","MY","2022-11-19","2022-11-19","","","",""
"KlamoyaCasino","Hospitality and Tourism","alphv","","2022-11-17","2023-07-26","klamoyacasino.com","","",""
"atlantisholidays","Hospitality and Tourism","medusalocker","","2022-11-15","2022-11-15","","","",""
"Zelena Laguna Hotel","Hospitality and Tourism","medusalocker","","2022-11-15","2022-11-15","","","",""
"stavbar.cz","Hospitality and Tourism","lockbit3","CZ","2022-11-09","2022-11-09","stavbar.cz","","",""
"CLUB DE TENIS LA PAZ","Hospitality and Tourism","mallox","","2022-11-04","2022-11-04","","","",""
"www.tclchinesetheatres.com","Hospitality and Tourism","dispossessor","","2022-10-21","2024-04-19","tclchinesetheatres.com","","",""
"Events DC | eventsdccom","Hospitality and Tourism","alphv","","2022-10-14","2023-07-26","eventsdc.com","","",""
"seaviewresortkhaolak.com","Hospitality and Tourism","lockbit3","","2022-10-01","2022-10-01","seaviewresortkhaolak.com","","",""
"yourprivateitaly.com","Hospitality and Tourism","lockbit3","","2022-09-22","2022-09-22","yourprivateitaly.com","","",""
"airalbania.com.al","Hospitality and Tourism","lockbit3","AL","2022-09-22","2023-01-30","airalbania.com.al","","",""
"TAP Air Leak of more than 1.5 million of customers and many other.","Hospitality and Tourism","ragnarlocker","","2022-09-19","2022-09-19","","","",""
"DYNAM JAPAN HOLDINGS CO., LTD","Hospitality and Tourism","cheers","","2022-09-14","2022-09-14","","","",""
"maisonloisy.fr","Hospitality and Tourism","lockbit3","FR","2022-09-14","2022-09-14","maisonloisy.fr","","",""
" Spa","Hospitality and Tourism","bianlian","","2022-09-13","2022-09-13","","","",""
"Gallery Hotels","Hospitality and Tourism","sparta","","2022-09-13","2022-09-13","","","",""
"marcopolohotels.com","Hospitality and Tourism","lockbit3","","2022-09-07","2022-09-07","marcopolohotels.com","","",""
"lafondasantafe.com","Hospitality and Tourism","lockbit3","","2022-09-06","2022-09-06","lafondasantafe.com","","",""
"gavresorts.com.br","Hospitality and Tourism","lockbit3","BR","2022-09-06","2022-09-06","gavresorts.com.br","","",""
"An Japan Game Halls Operator","Hospitality and Tourism","cheers","","2022-09-01","2022-09-01","","","",""
"Ramada Hervey Bay Hotel Resort","Hospitality and Tourism","bianlian","","2022-08-30","2022-08-30","","","",""
"statravel.de","Hospitality and Tourism","lockbit3","DE","2022-08-26","2022-08-26","statravel.de","","",""
"valverdehotel.com","Hospitality and Tourism","lv","","2022-08-09","2022-08-09","valverdehotel.com","","",""
"The O'Regan","Hospitality and Tourism","blackbasta","","2022-08-06","2022-08-06","","","",""
"legacy-hospitality.com","Hospitality and Tourism","lockbit3","","2022-07-25","2022-07-25","legacy-hospitality.com","","",""
"Dusit D2 Kenz Hotel Dubai","Hospitality and Tourism","alphv","","2022-07-06","2023-07-26","dusit.com/dusitd2-dubai/","","",""
"plagepalace.com","Hospitality and Tourism","lockbit2","","2022-06-20","2022-06-20","plagepalace.com","","",""
"hyatts.com","Hospitality and Tourism","lockbit2","","2022-06-06","2022-06-06","hyatts.com","","",""
"focusadventure..","Hospitality and Tourism","lockbit2","","2022-05-21","2022-05-21","","","",""
"clublinks.com.a...","Hospitality and Tourism","lockbit2","","2022-05-18","2022-05-18","","","",""
"https://clublin...","Hospitality and Tourism","lockbit2","","2022-05-18","2022-05-18","","","",""
"watermarkbeachr","Hospitality and Tourism","lockbit2","","2022-04-29","2022-04-29","","","",""
"tvothai.com","Hospitality and Tourism","lockbit2","","2022-04-21","2022-04-21","tvothai.com","","",""
"Attica Group","Hospitality and Tourism","conti","","2022-04-20","2022-04-20","","","",""
"Barakat Travel and Private Jet was Hacked","Hospitality and Tourism","alphv","","2022-04-10","2023-07-26","","","",""
"SLH","Hospitality and Tourism","conti","","2022-04-03","2022-04-03","","","",""
"caribetours","Hospitality and Tourism","kelvinsecurity","","2022-04-01","2022-04-01","","","",""
"yachtcharterfle...","Hospitality and Tourism","lockbit2","","2022-03-31","2022-03-31","","","",""
"Royal Brunei Airlines Sdn Bhd","Hospitality and Tourism","conti","","2022-03-29","2022-03-29","","","",""
"ICEHOTEL","Hospitality and Tourism","vicesociety","","2022-03-23","2022-03-23","","","",""
"WELCOME HOTELS","Hospitality and Tourism","conti","","2022-03-23","2022-03-23","","","",""
"ihg.com","Hospitality and Tourism","lockbit2","","2022-03-17","2022-03-17","ihg.com","","",""
"danubiushotels....","Hospitality and Tourism","lockbit2","","2022-03-13","2022-03-13","","","",""
"Tite - Live Belgique","Hospitality and Tourism","hive","","2022-02-25","2022-02-25","","","",""
"stetsonexpo.","Hospitality and Tourism","lockbit2","","2022-02-23","2022-02-23","","","",""
"botswanatourism...","Hospitality and Tourism","lockbit2","","2022-02-19","2022-02-19","","","",""
"enit.it","Hospitality and Tourism","lockbit2","IT","2022-02-18","2022-02-18","enit.it","","",""
"HelmsBriscoe","Hospitality and Tourism","conti","","2022-02-11","2022-02-11","","","",""
"hotelcedres.com","Hospitality and Tourism","lockbit2","","2022-02-04","2022-02-04","hotelcedres.com","","",""
"Overseas Travel Agency","Hospitality and Tourism","snatch","","2022-02-02","2022-02-02","","","",""
"lhotellerie-restauration.fr","Hospitality and Tourism","lv","FR","2022-01-29","2022-01-29","lhotellerie-restauration.fr","","",""
"Résidence Les Chtaigniers","Hospitality and Tourism","hive","","2022-01-25","2022-01-25","","","",""
"focusadventure....","Hospitality and Tourism","lockbit2","","2022-01-08","2022-01-08","","","",""
"Hawthorn The Community Pub Co.","Hospitality and Tourism","vicesociety","","2022-01-06","2022-01-06","","","",""
"American Dream","Hospitality and Tourism","conti","","2021-12-30","2021-12-30","","","",""
"rci.com","Hospitality and Tourism","dispossessor","","2021-12-26","2024-04-19","rci.com","","",""
"McMenamins","Hospitality and Tourism","conti","","2021-12-21","2021-12-21","","","",""
"CASINO WINNAVEGAS","Hospitality and Tourism","conti","","2021-12-20","2021-12-20","","","",""
"Skyxe Saskatoon Airport","Hospitality and Tourism","snatch","CA","2021-12-20","2021-12-20","","","",""
"vipsmotel.it","Hospitality and Tourism","lockbit2","IT","2021-12-15","2021-12-15","vipsmotel.it","","",""
"Nordic Choice Hotels","Hospitality and Tourism","conti","","2021-12-13","2021-12-13","","","",""
"promhotel.fr","Hospitality and Tourism","lv","FR","2021-12-05","2021-12-05","promhotel.fr","","",""
"travel-general....","Hospitality and Tourism","lockbit2","","2021-12-02","2021-12-02","","","",""
"Hospitality Furnishings & Design Inc.","Hospitality and Tourism","suncrypt","","2021-11-19","2021-11-19","","","",""
"chatrium.com","Hospitality and Tourism","lockbit2","","2021-11-07","2021-11-07","chatrium.com","","",""
"PVR Ltd.","Hospitality and Tourism","quantum","","2021-11-04","2021-11-04","","","",""
"parkhotel.mk","Hospitality and Tourism","lockbit2","","2021-10-28","2021-10-28","parkhotel.mk","","",""
"H Hotels Collection","Hospitality and Tourism","blackbyte","","2021-10-28","2021-10-28","","","",""
"www.parkhotel.m...","Hospitality and Tourism","lockbit2","","2021-10-28","2021-10-28","","","",""
"Sykes Cottages","Hospitality and Tourism","conti","","2021-10-23","2021-10-23","","","",""
"thefoxhillclub....","Hospitality and Tourism","lockbit2","","2021-10-20","2021-10-20","","","",""
"Paris Society","Hospitality and Tourism","spook","","2021-10-12","2021-10-12","","","",""
"watermarkbeachr...","Hospitality and Tourism","lockbit2","","2021-10-09","2021-10-09","","","",""
"maisonlaprise.c...","Hospitality and Tourism","lockbit2","","2021-10-05","2021-10-05","","","",""
"bcdtravel.com","Hospitality and Tourism","dispossessor","","2021-10-04","2024-04-19","bcdtravel.com","","",""
"newhotel.com","Hospitality and Tourism","lockbit2","","2021-09-30","2021-09-30","newhotel.com","","",""
"sheraton.marrio...","Hospitality and Tourism","lockbit2","","2021-09-29","2021-09-29","","","",""
"hotelservicepro...","Hospitality and Tourism","lockbit2","","2021-09-22","2021-09-22","","","",""
"marriott.com/ho...","Hospitality and Tourism","lockbit2","","2021-09-20","2021-09-20","marriott.com","","",""
"lemonastere.ca","Hospitality and Tourism","lockbit2","CA","2021-09-10","2021-09-10","lemonastere.ca","","",""
"stetsonexpo.com","Hospitality and Tourism","lockbit2","","2021-09-10","2021-09-10","stetsonexpo.com","","",""
"CREST Hotel & Suites","Hospitality and Tourism","azroteam","","2021-09-09","2021-09-09","","","",""
"InTown Suites","Hospitality and Tourism","azroteam","","2021-09-09","2021-09-09","","","",""
"Marseille Provence","Hospitality and Tourism","pysa","","2021-09-09","2021-09-09","","","",""
"King Henrys","Hospitality and Tourism","pysa","","2021-09-09","2021-09-09","","","",""
"Ogden Golf & Country Club","Hospitality and Tourism","pysa","","2021-09-09","2021-09-09","","","",""
"Levante UD","Hospitality and Tourism","pysa","","2021-09-09","2021-09-09","","","",""
"Aztec Events","Hospitality and Tourism","pysa","","2021-09-09","2021-09-09","","","",""
"Milwaukee World Festival, Inc","Hospitality and Tourism","conti","","2021-09-09","2021-09-09","","","",""
"Daylesford - BHoldings - Bamford - The Wild Rabbit","Hospitality and Tourism","revil","","2021-09-09","2021-09-09","","","",""
"Party Rental LTD","Hospitality and Tourism","avaddon","","2021-09-09","2021-09-09","","","",""
"LE VOLCAN","Hospitality and Tourism","avaddon","","2021-09-09","2021-09-09","","","",""
"Houston Rockets NBA Team","Hospitality and Tourism","babuk","US","2021-04-01","2021-04-01","","","",""
"Boyne Resorts","Hospitality and Tourism","wastedlocker","US","2020-10-16","2020-10-16","","","",""
"chuckecheese.com","Hospitality and Tourism","dispossessor","US","2020-08-22","2024-04-19","chuckecheese.com","","",""
"ZEGG Hotels & Store","Hospitality and Tourism","revil","CH","2020-06-01","2020-06-01","","","",""
"PGA","Hospitality and Tourism","bitpaymer","US","2018-08-07","2018-08-07","","","",""
"jaecklin-industrial.de","Manufacturing","safepay","DE","2026-07-20","2026-07-20","jaecklin-industrial.de","","",""
"stroebel-gruppe.de","Manufacturing","safepay","DE","2026-07-20","2026-07-20","stroebel-gruppe.de","","",""
"industriesjaro.com","Manufacturing","safepay","CA","2026-07-20","2026-07-20","industriesjaro.com","","",""
"Caterpillar","Manufacturing","coinbasecartel","US","2026-07-20","2026-07-20","","","",""
"Bolt & Nut Manufacturing","Manufacturing","qilin","GB","2026-07-20","2026-07-20","www.bnml.co.uk","","",""
"D.MAG New Material Technology Co., Ltd. Taiwan Giant","Manufacturing","incransom","TW","2026-07-18","2026-07-18","","","",""
"Sunway Scientific","Manufacturing","thegentlemen","TW","2026-07-17","2026-07-17","sun-way.com.tw","","",""
"Paragon Store Fixtures","Manufacturing","interlock","US","2026-07-17","2026-07-17","https:paragonstorefixtures.com","","",""
"AG Scholtes","Manufacturing","play","NL","2026-07-16","2026-07-16","www.agscholtes.nl","","",""
"Converting Equipment International","Manufacturing","interlock","US","2026-07-16","2026-07-16","slitandrewind.com","","",""
"Mesto Celakovice","Manufacturing","thegentlemen","CZ","2026-07-16","2026-07-16","celakovice.cz","","",""
"Giraudi Group","Manufacturing","thegentlemen","IT","2026-07-16","2026-07-16","giraudi.com","","",""
"Tooltec","Manufacturing","thegentlemen","SE","2026-07-16","2026-07-16","tooltec.se","","",""
"ALUFE Femszerkezeti Kft","Manufacturing","thegentlemen","HU","2026-07-16","2026-07-16","alufe.hu","","",""
"Kyokuto Kaihatsu Kogyo","Manufacturing","incransom","JP","2026-07-16","2026-07-17","kyokuto.com","","",""
"Plumley Engineering","Manufacturing","akira","US","2026-07-16","2026-07-16","PlumleyEng.com","","",""
"PanasonicAero","Manufacturing","coinbasecartel","JP","2026-07-15","2026-07-15","panasonic.aero","","",""
"Stephens Precision","Manufacturing","dragonforce","US","2026-07-15","2026-07-15","stephensprecision.com","","",""
"spectrumchemical.com","Manufacturing","chaos","US","2026-07-14","2026-07-14","spectrumchemical.com","","",""
"SITAV SpA","Manufacturing","dragonforce","IT","2026-07-14","2026-07-14","www.sitav.eu","","",""
"Midal Cables","Manufacturing","dragonforce","AE","2026-07-14","2026-07-14","www.midalcable.com","","",""
"Bosch","Manufacturing","D1R","DE","2026-07-13","2026-07-13","bosch.de","","",""
"Al - Saidi Factory","Manufacturing","dragonforce","SA","2026-07-12","2026-07-12","alsaidi.com","","",""
"WH Müller","Manufacturing","Deadlock","DE","2026-07-10","2026-07-10","www.whm.de","","",""
"Quetzal Química","Manufacturing","Deadlock","MX","2026-07-10","2026-07-10","quetzalquimica.com","","",""
"Güven Mühendislik Makina","Manufacturing","Deadlock","TR","2026-07-10","2026-07-10","gmm.com.tr","","",""
"Werken Química Brasil S.A.","Manufacturing","Deadlock","BR","2026-07-10","2026-07-10","www.werken.com.br","","",""
"Maxplast AND Senoco","Manufacturing","Deadlock","TR","2026-07-10","2026-07-10","senoco.com.tr","","",""
"Ring Textile Production RTP SRL","Manufacturing","Deadlock","","2026-07-10","2026-07-10","","","",""
"Bombas Ideal","Manufacturing","Deadlock","BR","2026-07-10","2026-07-10","www.bombasideal.com","","",""
"Bridgeport S.p.A.","Manufacturing","Deadlock","IT","2026-07-10","2026-07-10","www.bridgeport.it","","",""
"Picassent","Manufacturing","Deadlock","ES","2026-07-10","2026-07-10","www.picassent.es","","",""
"Dyhrberg AG Switzerland","Manufacturing","Deadlock","CH","2026-07-10","2026-07-10","www.dyhrberg.ch","","",""
"Dash Door Glass","Manufacturing","thegentlemen","US","2026-07-10","2026-07-11","dashdoor.com","","",""
"New Tiles S.L.","Manufacturing","gunra","ES","2026-07-10","2026-07-10","new-tiles.com","","",""
"robroy.com","Manufacturing","BrainCipher","US","2026-07-09","2026-07-09","robroy.com","","",""
"Sun Dolphin Boats","Manufacturing","qilin","US","2026-07-09","2026-07-09","www.sundolphin.com","","",""
"Pinturas Prisa","Manufacturing","AiLock","MX","2026-07-09","2026-07-09","","","",""
"Faro Products Inc.","Manufacturing","pear","CA","2026-07-07","2026-07-13","faroproducts.com","","",""
"Precision Steel Services","Manufacturing","qilin","","2026-07-06","2026-07-06","www.precisionsteel.org","","",""
"dgcement.com","Manufacturing","apt73","DZ","2026-07-06","2026-07-06","dgcement.com","","",""
"Excel Cell Electronic","Manufacturing","thegentlemen","TW","2026-07-06","2026-07-07","ece.com.tw","","",""
"Automovil Supply S.A","Manufacturing","thegentlemen","PY","2026-07-06","2026-07-07","supply.com.py","","",""
"Gold Standard Automotive","Manufacturing","Wallstreet","US","2026-07-04","2026-07-04","goldstandardautomotive.com","","",""
"redeplastrs.com.br","Manufacturing","Blackfield","BR","2026-07-03","2026-07-03","redeplastrs.com.br","","",""
"Ferrum AG","Manufacturing","anubis","CH","2026-07-03","2026-07-03","ferrum.net","","",""
"X-Copper Professional","Manufacturing","moneymessage","US","2026-07-02","2026-07-02","xcopper.com","","",""
"Dadolighting","Manufacturing","medusalocker","","2026-07-01","2026-07-01","dadolighting.com","","",""
"FunkeScheid","Manufacturing","medusalocker","DE","2026-07-01","2026-07-01","FunkeScheid.com","","",""
"printronix.com","Manufacturing","BrainCipher","US","2026-07-01","2026-07-01","printronix.com","","",""
"Fluke Corporation","Manufacturing","shinyhunters","US","2026-07-01","2026-07-01","fluke.com","","",""
"Dynamic Laser Solutions Ltd.","Manufacturing","qilin","GB","2026-07-01","2026-07-01","www.dynamiclasersolutions.com","","",""
"Chamco","Manufacturing","qilin","","2026-06-30","2026-06-30","www.chamco.com","","",""
"Port Angeles Composite","Manufacturing","cmdorganization","US","2026-06-30","2026-06-30","www.pacomposite.com","","",""
"CNW Electronics Pte Ltd","Manufacturing","pear","SG","2026-06-30","2026-07-03","cnw.com.sg","","",""
"Kunert Fashion","Manufacturing","qilin","DE","2026-06-29","2026-06-29","www.kunert.de","","",""
"Metal Sur Famin","Manufacturing","qilin","AR","2026-06-29","2026-06-29","www.metalsurfamin.com","","",""
"ccic.com.tw","Manufacturing","Blackfield","TW","2026-06-29","2026-06-29","ccic.com.tw","","",""
"ford.mx","Manufacturing","krybit","MX","2026-06-28","2026-06-28","ford.mx","","",""
"HIGUCHI USA, INC","Manufacturing","stormous","US","2026-06-28","2026-06-28","higuchiinc.com","","",""
"Kohinoor Mills","Manufacturing","cmdorganization","IN","2026-06-26","2026-06-26","www.kohinoormills.com","","",""
"Thyssenkrupp Marine Systems (TKMS) GmbH / Atlas Elektronik","Manufacturing","thegentlemen","DE","2026-06-25","2026-06-28","","","",""
"Gegenbauer Elektrotechnik","Manufacturing","thegentlemen","AT","2026-06-24","2026-07-01","gegenbauer-it.at","","",""
"Meccanica Gn","Manufacturing","thegentlemen","IT","2026-06-24","2026-07-01","meccanicagn.com","","",""
"Miami Machine","Manufacturing","akira","US","2026-06-24","2026-06-24","","","",""
"graymont.com","Manufacturing","chaos","CA","2026-06-22","2026-06-22","graymont.com","","",""
"CTM India Limited motherson INDIA","Manufacturing","thegentlemen","IN","2026-06-22","2026-07-01","dnb.com","","",""
"Aerospace & Advanced Composites GmbH","Manufacturing","aurora","DE","2026-06-22","2026-06-22","Aerospace & Advanced Composites GmbH","","",""
"Kochs GmbH","Manufacturing","aurora","DE","2026-06-22","2026-06-22","Kochs GmbH","","",""
"Taiwan Sintong Machinery Co., Ltd","Manufacturing","qilin","TW","2026-06-21","2026-06-21","www.twsinto.com.tw","","",""
"Pacific Lamp & Supply","Manufacturing","qilin","US","2026-06-20","2026-06-20","www.pacificlamp.com","","",""
"Dosab","Manufacturing","nova","SA","2026-06-20","2026-06-20","","","",""
"Super Finishing","Manufacturing","worldleaks","BR","2026-06-20","2026-06-20","www.superfinishing.com.br","","",""
"hellmold-plank.de","Manufacturing","safepay","DE","2026-06-20","2026-06-27","hellmold-plank.de","","",""
"Vera Chimie Management","Manufacturing","thegentlemen","FR","2026-06-18","2026-06-20","verachimie.fr","","",""
"zaunsysteme.de","Manufacturing","safepay","DE","2026-06-17","2026-06-17","zaunsysteme.de","","",""
"ersa.com.py","Manufacturing","krybit","PY","2026-06-17","2026-06-17","ersa.com.py","","",""
"Smith Filter","Manufacturing","akira","","2026-06-17","2026-06-17","","","",""
"jasperplastics.info","Manufacturing","incransom","US","2026-06-16","2026-06-16","jasperplastics.info","","",""
"SPORTON International Inc.","Manufacturing","payload","TW","2026-06-16","2026-06-16","sporton.com.tw","","",""
"Sumitomo Electric Bordnetze","Manufacturing","aurora","DE","2026-06-16","2026-06-16","Sumitomo Electric Bordnetze","","",""
"bautz-maschinenbau.de","Manufacturing","safepay","DE","2026-06-15","2026-06-15","bautz-maschinenbau.de","","",""
"alu-rex.com","Manufacturing","BrainCipher","AT","2026-06-15","2026-06-15","alu-rex.com","","",""
"Röben Tonbaustoffe GmbH","Manufacturing","AiLock","DE","2026-06-15","2026-06-15","roeben.com","","",""
"kodak.com","Manufacturing","shinyhunters","US","2026-06-15","2026-06-15","kodak.com","","",""
"Buechel Stone","Manufacturing","thegentlemen","US","2026-06-15","2026-06-15","buechelstone.com","","",""
"Cole Manufacturing","Manufacturing","thegentlemen","US","2026-06-15","2026-06-15","colemfg.com","","",""
"Traublinger","Manufacturing","thegentlemen","DE","2026-06-15","2026-06-15","traublinger.de","","",""
"Buratti","Manufacturing","thegentlemen","IT","2026-06-15","2026-06-15","buratti.it","","",""
"Cheoy Lee Shipyards","Manufacturing","dragonforce","HK","2026-06-12","2026-06-12","www.cheoylee.com","","",""
"A. Liberty Engineering Co. Ltd","Manufacturing","dragonforce","HK","2026-06-12","2026-06-12","aleengg.com.hk","","",""
"Zhangjiagang Fortune Chemical Co. Ltd. Singapore","Manufacturing","Deadlock","SG","2026-06-12","2026-06-15","www.fortune-chemical.com","","",""
"werkstoff-service.de","Manufacturing","m3rx","DE","2026-06-11","2026-06-11","werkstoff-service.de","","",""
"Astec Valves & Fittings Pvt","Manufacturing","dragonforce","IN","2026-06-11","2026-06-11","www.astecflow.com","","",""
"Kewaunee Scientific","Manufacturing","incransom","US","2026-06-11","2026-06-11","","","",""
"dystar.com","Manufacturing","settra","SG","2026-06-11","2026-06-28","dystar.com","","",""
"JV Equipment","Manufacturing","qilin","US","2026-06-10","2026-06-10","www.jvequipment.com","","",""
"CH Paper","Manufacturing","Deadlock","CN","2026-06-10","2026-06-15","www.chenghengpaper.com","","",""
"Silmquinas e Equipamentos","Manufacturing","thegentlemen","BR","2026-06-10","2026-06-11","silmaquinas.com.br","","",""
"probat.com","Manufacturing","lockbit5","DE","2026-06-09","2026-06-11","probat.com","","",""
"Apollo Pipes","Manufacturing","worldleaks","IN","2026-06-09","2026-06-09","www.apollopipes.com","","",""
"va-glass.com","Manufacturing","settra","VA","2026-06-09","2026-06-28","va-glass.com","","",""
"HIZE Aero","Manufacturing","ULose","KR","2026-06-09","2026-06-09","hizeaero.com","","",""
"Roland Machinery","Manufacturing","termite","AU","2026-06-08","2026-06-08","www.rolandmachinery.com","","",""
"Isuzu Motors","Manufacturing","qilin","TH","2026-06-08","2026-06-08","www.isuzu-motors.co.th","","",""
"Jyharn Electronic","Manufacturing","thegentlemen","TW","2026-06-08","2026-06-08","jyharn.com","","",""
"Hansoll Textile in Vietnam","Manufacturing","payload","VN","2026-06-08","2026-06-08","hansoll.com","","",""
"doosan.com","Manufacturing","settra","KR","2026-06-08","2026-06-28","doosan.com","","",""
"Promepla","Manufacturing","ransomhouse","AR","2026-06-08","2026-06-16","www.promepla.com","","",""
"United Auto Supply","Manufacturing","worldleaks","US","2026-06-05","2026-06-05","www.unitedautosupply.com","","",""
"Wiese USA","Manufacturing","termite","US","2026-06-05","2026-06-08","www.wieseusa.com","","",""
"T/CCI Manufacturing","Manufacturing","akira","","2026-06-05","2026-06-05","","","",""
"Stuga Machinery","Manufacturing","incransom","GB","2026-06-04","2026-06-04","","","",""
"National Standard Parts Associates","Manufacturing","akira","","2026-06-04","2026-06-04","","","",""
"Liztex Guatemala","Manufacturing","thegentlemen","GT","2026-06-03","2026-06-04","liztex.com","","",""
"Oztugotomotiv","Manufacturing","incransom","TR","2026-06-03","2026-06-03","","","",""
"JNP ENG","Manufacturing","qilin","KR","2026-06-03","2026-06-03","www.jnpeng.co.kr","","",""
"Unique Litho, Inc","Manufacturing","nightspire","US","2026-06-03","2026-06-08","uniquelitho.com","","",""
"IBENA Textilwerke","Manufacturing","nova","DE","2026-06-02","2026-06-02","","","",""
"Sicol","Manufacturing","spacebears","BR","2026-06-02","2026-06-04","sicol.com.br","","",""
"compactmould.com","Manufacturing","safepay","CA","2026-06-01","2026-06-01","compactmould.com","","",""
"National Industries","Manufacturing","thegentlemen","IN","2026-06-01","2026-06-04","nationalindustries.in","","",""
"Fibrenoire","Manufacturing","thegentlemen","CA","2026-06-01","2026-06-04","fibrenoire.ca","","",""
"Grupo Mauá","Manufacturing","bravox","BR","2026-05-31","2026-05-31","www.grupomaua.com.br","","",""
"Cavalier Flooring Systems Inc.","Manufacturing","genesis","US","2026-05-30","2026-05-30","cavalierflooring.com","","",""
"Indiana Mills and Manufacturing","Manufacturing","termite","US","2026-05-29","2026-05-30","www.imminet.com","","",""
"Henry Molded Products Likely to Engage tag.","Manufacturing","dragonforce","US","2026-05-29","2026-05-29","henry-molded.com","","",""
"Shanpoornam Metals","Manufacturing","lamashtu","MY","2026-05-29","2026-05-29","shanpoornammetals.com","","",""
"IH Engineers","Manufacturing","akira","US","2026-05-29","2026-06-23","ihengineers.com","","",""
"Corley MFG","Manufacturing","play","US","2026-05-29","2026-06-04","www.corleymfg.com","","",""
"American Battery Factory","Manufacturing","worldleaks","US","2026-05-28","2026-05-28","americanbatteryfactory.com","","",""
"Fonderia Corra","Manufacturing","thegentlemen","IT","2026-05-28","2026-05-28","fonderiacorra.com","","",""
"Sinomax USA","Manufacturing","qilin","US","2026-05-28","2026-05-28","www.sinomax-usa.com","","",""
"Carton Craft Supply","Manufacturing","qilin","US","2026-05-28","2026-05-28","www.cartoncraftsupply.com","","",""
"LA Woodworks","Manufacturing","qilin","LA","2026-05-28","2026-05-28","www.lawoodworksinc.com","","",""
"motofrenos.com","Manufacturing","krybit","MX","2026-05-27","2026-05-27","motofrenos.com","","",""
"sterlingindustries.com","Manufacturing","chaos","US","2026-05-27","2026-05-27","sterlingindustries.com","","",""
