industry,type,category,description,subcategories
"Information Technology","exposure","Corporate IT, Identity and Edge Systems","The internal backbone whose compromise enables lateral movement and encryption.","Active Directory / Entra ID and SSO/identity federation | VPN and internet-facing edge appliances (GlobalProtect, Fortinet, Citrix) | Managed file transfer appliances (MOVEit, GoAnywhere) | Virtualization (VMware ESXi), email and collaboration systems | Backup and disaster-recovery infrastructure"
"Information Technology","exposure","Customer, Employee and Third-Party Data","IT firms hold vast volumes of both their own and their customers' data as processors, magnifying breach-notification and liability exposure.","Customer PII and account credentials | Contract, service-order and billing data (e.g., NTT Com 17,891 organizations) | Employee and applicant records (e.g., Ingram Micro ~42,000 records) | Downstream clients' data held as a data processor | Confidential customer contracts, purchase orders and roadmaps (Tata Technologies leak)"
"Information Technology","exposure","Distribution, Logistics and Commerce Systems","For IT distributors/resellers and platform providers, transactional systems are the business; their loss stops downstream commerce.","Order-processing and e-commerce systems (Ingram Micro) | ERP, inventory and channel-management platforms | Dealer/reseller management SaaS (CDK Global DMS) | Payment and licensing/activation systems"
"Information Technology","exposure","Downstream Ecosystem and Supply-Chain Relationships","The third parties whose exposure flows through the IT firm, creating aggregation risk.","MSP-managed client estates | Reseller/distributor channel and end customers | Subprocessors, cloud providers and integration partners | Hardware and component supply chain (OEM/ODM relationships, e.g., Quanta as Apple ODM)"
"Information Technology","exposure","Intellectual Property and Trade Secrets","High-value proprietary knowledge whose exfiltration is itself the extortion leverage.","Semiconductor and chip-design IP / EDA data | Proprietary algorithms, models and product roadmaps | Unreleased product blueprints and schematics | Trade secrets and competitive/strategic documents"
"Manufacturing","hazard","Initial Access Vectors","How ransomware actors first breach manufacturing environments; in this sector, exposed remote-access infrastructure and unpatched perimeter/OT-adjacent systems dominate over other industries' typical phishing-first patterns, though phishing remains prevalent too.","Exposed/unsecured RDP and remote-access services (documented initial vector in the Honda/EKANS 2020 case) | Exploited public-facing vulnerabilities (leading root cause per Sophos 2025, 32% of manufacturing incidents; e.g., Citrix NetScaler CVE exploited by INC Ransom) | Phishing/spearphishing and malicious email attachments (Norsk Hydro's LockerGoga entry point) | Compromised/stolen credentials, including via infostealer malware | Malicious browser downloads by employees (Continental AG 2022 vector) | Third-party/vendor/MSP remote-access compromise"
"Manufacturing","hazard","Extortion Tactics","The mechanisms attackers use to monetize a manufacturing compromise, increasingly shifting from pure encryption toward data theft as manufacturers improve encryption-prevention (per Sophos 2025: encryption success dropped from 74% to 40% YoY).","Encryption of production/IT systems (traditional single-extortion, e.g. Norsk Hydro, Honda) | Data exfiltration and double-extortion (leak-site publication threats, e.g. Continental, Nissan, Yamaha) | Backup destruction to eliminate recovery options and increase payment pressure (Foxconn Mexico: 20-30TB of backups deleted) | Deadline-driven public leak-site pressure campaigns | Triple extortion (secondary harassment of customers/partners named in stolen data, or DDoS layered on top) | Direct sale of stolen IP/data to third parties independent of ransom negotiation (Continental data offered for sale at $50M/$40M)"
"Manufacturing","hazard","OT vs. IT Risk Differentiation","Manufacturing's unique bifurcated risk profile — attacks can remain IT-contained (data theft) or cross into OT (halting physical production), with dramatically different loss profiles.","Pure-IT compromises with data-theft-only impact and limited production disruption | IT-to-OT lateral movement causing plant/production shutdowns | Purpose-built OT/ICS-targeting malware (e.g., Snake/EKANS designed to kill SCADA-associated processes) | Precautionary self-imposed shutdowns to contain spread (Bridgestone's proactive disconnection of ~30 plants) | Safety-system and physical-safety risk where OT compromise intersects with worker/product safety"
"Manufacturing","hazard","Supply Chain and Business Interruption Risk","Because manufacturers sit inside just-in-time, tightly coupled supply chains, a single-site ransomware event can cascade into contingent business interruption for downstream customers and upstream suppliers well beyond the insured's own balance sheet.","Contingent business interruption to downstream OEM customers relying on JIT delivery | Upstream supplier/sub-contractor compromise propagating into the manufacturer's network | Multi-plant/multi-region shutdowns from a single network-wide compromise (Bridgestone: ~30 plants, 10 days) | Extended full-recovery timelines (100+ days per Sophos 2024 data) prolonging revenue loss beyond initial outage"
"Manufacturing","hazard","Third-Party and Vendor/MSP Risk","Reliance on external integrators, MSPs, and cloud/SaaS platforms for both IT and OT management creates an attack surface outside the manufacturer's direct control.","Compromise via managed service providers or OT system integrators with standing remote access | Shared/interconnected supplier portals and EDI systems as lateral-movement paths | Cloud ERP/MES vendor compromise cascading to multiple manufacturing clients | Sub-tier supplier ransomware indirectly halting the insured's production (contingent BI exposure)"
"Manufacturing","hazard","Insider and Human-Factor Risk","Human error and workforce-related exposure that manufacturers must underwrite alongside pure technical vulnerability.","Employee-initiated compromise (malicious downloads, credential reuse, phishing susceptibility) | Insufficient in-house security expertise to detect/respond in time (cited by 42.5% of manufacturing ransomware victims per Sophos 2025) | Disgruntled or negligent insiders with OT/production-system access | Contractor and temporary-worker access-control gaps on factory floors"
"Manufacturing","hazard","Regulatory, Legal, and Notification Exposure","Post-incident compliance and liability obligations that shape the insurable loss beyond the ransom/recovery cost itself, particularly where employee, customer, or government-ID data is exposed.","Multi-jurisdictional breach-notification requirements for exposed employee/customer PII (e.g., Nissan's ~100,000-person notification across Australia/New Zealand) | Government-ID and financial-data exposure triggering elevated regulatory scrutiny (Medicare numbers, driver's licenses, passports, tax file numbers, SSNs, banking data seen across the example incidents) | Export-control and trade-secret protection obligations for defense/aerospace-adjacent manufacturers | Securities-disclosure obligations for publicly traded manufacturers (material incident/8-K-style disclosures) | Cross-border data-transfer and subsidiary-notification complexity for multinational manufacturers"
"Manufacturing","exposure","Operational Technology / Industrial Control Systems (OT/ICS/SCADA)","Physical production infrastructure that, unlike pure IT, ties ransomware impact directly to safety and physical output — the defining exposure that differentiates manufacturing from most other insured industries.","Programmable Logic Controllers (PLCs) and Distributed Control Systems (DCS) | SCADA/HMI supervisory systems | Industrial IoT (IIoT) sensors and connected machinery | Robotics and automated assembly-line controllers | Building/plant management systems (HVAC, energy, safety interlocks) converged with IT networks | Legacy/unpatched OT systems with long refresh cycles (10-20+ year equipment lifespans)"
"Manufacturing","exposure","Production and Manufacturing Execution Systems","Software layers that plan, schedule, and track physical production — encryption or corruption here halts output even if OT hardware itself is untouched.","Manufacturing Execution Systems (MES) | ERP systems tied to production scheduling and inventory (SAP, Oracle, etc.) | Quality-control and batch/lot-tracking systems | Warehouse management and inventory-control systems | Historian/data-collection servers bridging IT and OT"
"Manufacturing","exposure","Intellectual Property and Trade Secrets","Proprietary design, engineering, and process data that is high-value theft/extortion leverage distinct to manufacturers, especially in automotive, aerospace, electronics, and industrial-equipment segments.","CAD/CAM design files and product blueprints | Source code for embedded/firmware systems in products | R&D data and pre-release product specifications | Proprietary manufacturing process/recipe data | Patents and trade-secret documentation"
"Manufacturing","exposure","Supply Chain and Third-Party/Vendor Networks","Manufacturing's deep tiered-supplier interdependency means exposure extends well beyond the insured entity's own network perimeter.","Tier 1/2/3 supplier and subcontractor network connections (EDI, VPN, shared portals) | Just-in-time (JIT) logistics and shipping/freight coordination systems | Contract manufacturers and OEM/ODM partners | Third-party MSPs/OT integrators with remote access credentials | Raw material and component sourcing platforms"
"Manufacturing","exposure","Enterprise IT and Corporate Data","Conventional back-office systems that remain a primary initial-access and extortion target even in OT-heavy environments.","Employee PII/HR records (payroll, SSNs, government ID data — as seen in Bridgestone, Nissan incidents) | Financial and banking data | Customer and dealer/distributor records | Email and collaboration systems | Backup and disaster-recovery infrastructure (frequently targeted for deletion, as in the Foxconn Mexico case)"
"Manufacturing","exposure","Physical Plant and Multi-Site Infrastructure","Geographically distributed physical facilities whose network segmentation (or lack thereof) determines how far a single compromise can spread.","Multiple manufacturing plants/sites on shared corporate networks | Regional/subsidiary networks with varying security maturity (e.g., overseas subsidiaries) | Industrial network segmentation boundaries (IT/OT air gaps or lack thereof) | Remote/unmanned facility connections"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","hazard","Initial access vectors","How ransomware/extortion actors first get in, tailored to how this sector's workforce and infrastructure typically operate.","Voice phishing (vishing) targeting IT helpdesk/employees to obtain SaaS/CRM credentials (Cushman & Wakefield/ShinyHunters pattern) | Business email compromise / spear-phishing against client-facing consulting, legal, and accounting staff | Exploited VPN/RDP and edge-device vulnerabilities into MSP and IT-services provider networks | Infostealer malware harvesting employee and third-party credentials (RedLine, Lumma, generic stealers observed heavily across ransomware.live Business Services listings) | Compromise of exposed EDI, order-processing, and warehouse-management portals in wholesale/distribution firms | Compromised MSP/RMM tooling providing one-to-many access into multiple downstream client environments"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","hazard","Extortion tactics","How attackers monetize access once obtained, and how these tactics manifest specifically in professional/technical services, real estate, and wholesale trade.","Double extortion: encryption plus exfiltration threat of client/case data (law, accounting, consulting firms) | Pure data-exfiltration extortion without encryption, increasingly common via SaaS/CRM compromise (no file-encryption downtime, but reputational/regulatory leverage) | Leak-site 'countdown' publication of stolen client and employee data to pressure payment | Multi-group/competing extortion claims on the same victim (seen with Cushman & Wakefield, claimed by both ShinyHunters and Qilin) complicating incident response and negotiation | Harassment of downstream clients/customers whose data was exposed, used as secondary leverage against the professional-services victim | DDoS as an auxiliary pressure tactic during negotiation stand-offs"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","hazard","Third-party / supply-chain risk","This sector is disproportionately exposed because many of its firms are themselves vendors, integrators, or outsourced back-office providers to other companies.","MSP/IT-services compromise cascading into many downstream client organizations (Cognizant, Accenture, Sopra Steria pattern) | SAP/ERP consultancy and implementation-partner compromise exposing multiple enterprise clients' back-office systems (e.g., Megawork/SAP consultancy incident) | BPO/back-office outsourcing compromise exposing data the vendor processes on behalf of many end clients across other regulated industries (Conduent processing healthcare claims and payments for numerous government/commercial clients) | SaaS/CRM platform (e.g., Salesforce) compromise via a single vendor or employee credential exposing aggregated client contact/PII data across an entire real estate or professional-services portfolio | Franchise, staffing-agency, and subcontractor network risk in wholesale distribution and real estate where security posture varies widely by location"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","hazard","Confidentiality / privileged-data risk","Professional/technical services firms hold sensitive third-party information whose exposure carries outsized legal and reputational consequences.","Attorney-client privileged case files and litigation strategy documents (law firms) | M&A due-diligence, financial audit, and pre-earnings material non-public information (accounting/consulting firms) | Engineering drawings, architectural plans, and technical IP (engineering/technical consultancies) | Aggregated multi-client PII/PHI held by BPOs and claims processors, creating breach exposure that multiplies across every underlying client"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","hazard","Operational / logistics disruption","Hazards specific to wholesale trade and logistics operations where system downtime directly halts physical goods movement.","Warehouse management system (WMS) and inventory database encryption halting order fulfillment | Freight/transportation management system (TMS) and dispatch/scheduling outages delaying deliveries | EDI/order-processing system disruption breaking automated B2B ordering pipelines with retail/wholesale customers | Customer-facing portal outages (e.g., MyToll-style portals) degrading service visibility even when core freight movement continues"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","hazard","Insider and credential risk","Distributed, high-turnover workforces common to staffing, real estate brokerage, and professional-services firms increase credential and insider exposure.","Large contractor/gig and franchise workforces with inconsistent endpoint security and access controls | Privileged access by outsourced IT/helpdesk staff susceptible to social engineering | Departing-employee credential misuse in high-turnover brokerage/consulting environments"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","hazard","Regulatory and contractual exposure","Downstream regulatory and legal consequences distinctive to firms handling data on behalf of many regulated clients.","Multi-state breach notification obligations when a single incident exposes data spanning many client industries and jurisdictions (Conduent: multi-state AG enforcement, ~10+ class actions) | Contractual indemnification and liability clauses with enterprise clients whose data was exposed via the vendor | SEC disclosure obligations for publicly traded professional-services firms (Cognizant, Sopra Steria, Accenture, Conduent all filed material-impact disclosures) | Professional licensing/ethics exposure for law and accounting firms following confidentiality breaches"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","exposure","Client and case data","The core work-product and confidential records professional-services firms hold on behalf of clients.","Legal case files and privileged communications | Financial audit workpapers and tax filings | M&A/due-diligence data rooms | Consulting deliverables and strategic plans | Engineering designs, architectural plans, and technical specifications"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","exposure","CRM, sales, and SaaS platforms","Cloud-hosted customer/contact systems increasingly targeted directly rather than via on-prem encryption.","Salesforce and other CRM instances holding client and prospect PII (Cushman & Wakefield) | Marketing automation and email platforms | Cloud collaboration suites (M365/Google Workspace) and file-sharing repositories"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","exposure","ERP, back-office, and BPO processing systems","Systems that process transactional and often highly regulated data on behalf of multiple end clients.","SAP and other ERP implementations managed by consultancies for enterprise clients | Payment processing, healthcare-claims processing, and payroll systems run by BPOs (Conduent-style exposure) | HR/staffing databases and applicant records"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","exposure","Real estate-specific systems and data","Systems and data unique to commercial/residential real estate services firms.","Property management and lease/tenant databases | Building access-control and physical security systems (e.g., Open Options access-control platform incident) | Title, escrow, and transaction-closing data | Facilities/IoT building-management systems"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","exposure","Wholesale trade and logistics systems","Systems supporting the physical movement and distribution of goods.","Warehouse management systems (WMS) and inventory databases | Freight/transportation management and dispatch systems | EDI and automated B2B order-processing pipelines | Customer-facing tracking/shipping portals"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","exposure","Employee, contractor, and third-party data","Personal data of the firm's own workforce and its extended network of subcontractors/partners.","Employee PII and payroll/benefits records | Contractor and subcontractor databases | Franchise-network partner data | Third-party vendor and supply-chain contact information"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","exposure","Cloud/MSP infrastructure and credentials","The infrastructure and access pathways that, if compromised, enable one-to-many downstream compromise.","MSP/RMM remote-management tooling with privileged access to multiple client networks | Domain admin and Active Directory credentials | API keys and service-account credentials for interconnected client systems"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","exposure","Intellectual property and trade secrets","Proprietary technical and strategic information distinct to scientific/technical consultancies.","R&D and engineering IP | Proprietary methodologies and software (e.g., custom CRM/software platforms like All Gather CRM) | Competitive/strategic business intelligence"
"Public Administration (Government)","hazard","Initial Access Vectors","How ransomware operators break into government networks, shaped by legacy infrastructure, thin IT/security staffing, and heavy reliance on shared and outsourced systems.","Exploitation of unpatched internet-facing systems and legacy/end-of-life software (VPN concentrators, Citrix/RDP gateways, Exchange, file-transfer appliances like MOVEit) common in underfunded agencies | Exposed / brute-forced Remote Desktop Protocol (RDP) - the classic SamSam vector used against Atlanta | Phishing and business-email-compromise against government email accounts and elected officials | Stolen/valid credentials and weak or absent MFA on remote-access and privileged accounts | Compromise via managed service providers (MSPs) and shared statewide/county IT systems that serve many agencies at once | Third-party/software supply-chain compromise (e.g. mass-exploited file-transfer and remote-management tools)"
"Public Administration (Government)","hazard","Extortion Tactics","The leverage models used to coerce payment from public bodies, which typically resist paying, prompting escalation to data-leak and public-pressure tactics.","Encryption of servers/endpoints halting citizen-facing and back-office services (double-extortion base case) | Data exfiltration + public leak-site posting when governments refuse to pay (e.g. Rhysida dumping ~600GB from the British Library; Interlock posting 43GB from St. Paul; Play leaking Oakland data) | Publication/auctioning of citizen PII, employee HR/payroll files, and law-enforcement records to shame and pressure | Direct harassment / notification of affected citizens and media to amplify political pressure on officials | Framing attacks as acts of 'terrorism' / national-security events (Costa Rica) to maximize coercion | DDoS and repeat-attack threats layered on top of encryption (triple-extortion)"
"Public Administration (Government)","hazard","Service-Disruption / Availability Risk (mission-critical public services)","Government-specific operational hazards where downtime directly harms public safety and essential service delivery, not just revenue.","911 / emergency dispatch and first-responder CAD systems (impacted in Dallas) | Tax, revenue, customs, and treasury collection systems (Costa Rica Hacienda; Baltimore property transfers) | Benefits, social-security, and public-assistance payment systems (Costa Rican CCSS social security fund) | Courts, permitting, licensing, vital records, and land/property registries | Public utilities billing, water/electricity administrative systems, and municipal payment portals | Prolonged recovery windows (months) driven by legacy systems and limited in-house restoration capacity"
"Public Administration (Government)","hazard","OT / Critical-Infrastructure Adjacency","Where government IT connects to operational technology and public-safety infrastructure, expanding blast radius beyond data loss.","Municipal water and wastewater SCADA/OT overseen by public works departments | Traffic-management, transit, and public-lighting control systems | Public-utility (electric/water) operational systems run by state/municipal authorities | Emergency communications and radio infrastructure | IT/OT flat-network convergence in small municipalities lacking segmentation"
"Public Administration (Government)","hazard","Third-Party, Supply-Chain & Aggregation Risk","Systemic exposure unique to government's shared and outsourced service model, where one compromise cascades across many jurisdictions.","Managed service providers (MSPs) and IT contractors serving multiple municipalities simultaneously | Shared statewide platforms, county data centers, and regional cooperatives (single point of failure for many agencies) | SaaS/cloud vendors holding benefits, tax, and records data on behalf of agencies | File-transfer and remote-management software mass-exploitation events hitting many governments at once | Election-system and voter-registration vendor exposure (integrity and confidence risk)"
"Public Administration (Government)","hazard","Insider & Human-Factor Risk","Personnel-driven risk amplified by high staff turnover, large workforces, and thin security awareness in the public sector.","Negligent insiders (credential reuse, susceptibility to phishing, workaround shadow-IT during outages) | Malicious/disgruntled insiders and access-broker recruitment (Costa Rica alleged in-country facilitators) | Weak privileged-access governance and over-provisioned admin accounts | Elected-official and executive account targeting (high-value, low-training)"
"Public Administration (Government)","hazard","Regulatory, Legal & Political Exposure","Post-incident obligations and accountability pressures distinctive to public bodies answerable to citizens and oversight bodies.","Breach-notification and data-protection obligations (state breach laws, GDPR/UK-GDPR for foreign governments, sector rules) | Class-action litigation by affected citizens and employees over exposed PII | Public-records/FOIA scrutiny, legislative inquiries, and audits of the response | OFAC sanctions risk when a ransom would flow to a sanctioned group (constrains payment even if desired) | Political and electoral fallout, loss of public trust, and pressure on officials to restore service fast | National-security escalation for attacks on central-government institutions"
"Public Administration (Government)","hazard","Threat-Actor Landscape","The specific ransomware ecosystems and actor types repeatedly hitting government, blending crime and, at national level, state interests.","Financially-motivated RaaS crews prominent against government: Royal, Rhysida, Play, LockBit, BlackCat/ALPHV, Medusa, Interlock, Conti (defunct) | State-nexus / APT actors where extortion overlaps with espionage (Verizon 2025: espionage breaches up 163%, 28% also financially motivated) | Nation-linked operators (Iranian SamSam actors indicted for Atlanta; pro-Russian Conti against Costa Rica) | Initial-access brokers selling footholds into government networks"
"Public Administration (Government)","exposure","Citizen & Employee Data Assets","The sensitive personal and administrative records that make government a high-value data-extortion target.","Citizen PII (names, SSNs/national IDs, addresses, dates of birth) | Employee/HR and payroll data, including retirees and dependents (Dallas: 27,000+ notified; Columbus: ~500,000 files) | Tax, financial, and benefits records held by revenue and social-services agencies | Health/PHI held by public health, Medicaid, and social-services departments | Law-enforcement records, case files, and investigative data | Vital records (birth/death/marriage), land/property registries, and court records | Library/patron and CRM databases (British Library: ~500,000 files incl. user and staff data)"
"Public Administration (Government)","exposure","Core IT & Enterprise Systems","The back-office and productivity systems whose encryption halts government operations.","Active Directory / identity and access management (prime ransomware target for domain-wide encryption) | Email and collaboration platforms (Baltimore staff forced to Gmail workarounds) | ERP / finance / procurement and payroll systems | File servers, document-management and records systems | Endpoints and laptops (Sophos: ~56% of government machines impacted on average per attack) | Backup and disaster-recovery infrastructure (targeted to prevent restoration)"
"Public Administration (Government)","exposure","Citizen-Facing Service Platforms","The public service-delivery systems whose downtime directly harms residents.","Online payment portals and municipal e-services (St. Paul, Baltimore) | Permitting, licensing, and business-registration systems | Tax/revenue and customs collection systems (Costa Rica; Baltimore) | Benefits, social-security, and public-assistance disbursement systems | Court e-filing and case-management systems | Public Wi-Fi and website/portal infrastructure (British Library, St. Paul)"
"Public Administration (Government)","exposure","Public-Safety & Emergency Systems","Life-safety systems whose disruption elevates a data incident to a public-safety emergency.","911 / emergency dispatch and computer-aided-dispatch (CAD) (Dallas) | First-responder and police/fire records and communications | Emergency notification and alerting systems | Jail/detention and body-camera/evidence management systems"
"Public Administration (Government)","exposure","Operational Technology & Municipal Infrastructure","Physical-world control systems owned or overseen by government bodies.","Water/wastewater SCADA and public-works OT | Traffic, transit, and street-lighting control systems | Municipal utility (electric/water) operational systems | Building-management and physical-access-control systems"
"Public Administration (Government)","exposure","Third-Party & Shared-Service Dependencies","External providers and shared platforms whose compromise exposes the agency (aggregation risk).","MSPs, IT contractors, and outsourced help-desk/network providers | Shared statewide/county data centers and regional service cooperatives | Cloud/SaaS vendors for benefits, tax, HR, and records processing | File-transfer and remote-management software (MOVEit-style mass-exploit exposure) | Election and voter-registration technology vendors | Payment processors and identity-verification providers"
"Retail Trade and Consumer Services","hazard","Initial Access Vectors","How attackers first get in; retail/consumer-services shows a disproportionate reliance on social-engineering of people and processes rather than pure technical exploitation, reflecting large, distributed, high-turnover workforces and heavy reliance on outsourced IT support.","Help-desk/service-desk vishing and impersonation (Scattered Spider-style) | Third-party IT vendor or identity-provider (Okta/SSO) compromise | Exploited public-facing vulnerabilities (VPN, web app, edge devices) | SaaS/OAuth and connected-app abuse (e.g., fake Salesforce Data Loader) | Phishing/credential theft against store, warehouse, or corporate staff | Compromised franchise or dealer-network credentials"
"Retail Trade and Consumer Services","hazard","Extortion Tactics","The dominant tactic in this sector is shifting from encryption toward pure data-theft extortion, but encryption-driven operational shutdown remains the most financially destructive variant when it occurs.","Traditional encryption of ERP/POS/inventory systems (operational shutdown) | Extortion-only data exfiltration with no encryption (fastest-growing tactic) | Double extortion (encrypt + threaten to leak) | Direct executive/leadership harassment (calls, Teams messages, emails to C-suite) | Deadline-based public leak-site threats naming victims before payment | Threats against downstream customers/members directly (name-and-shame of loyalty program members)"
"Retail Trade and Consumer Services","hazard","Operational and Store-Network Disruption","Because retail margins depend on continuous inventory flow and point-of-sale availability, ransomware's operational-availability impact (not just data loss) is often the largest cost driver in this industry.","Store-wide or chain-wide POS outages halting sales | Automated ordering/replenishment failure forcing manual (paper) processes | E-commerce/website downtime and lost online revenue | Warehouse and logistics disruption causing stockouts | Shared-platform outages cascading across many independent locations (franchise/dealer model)"
"Retail Trade and Consumer Services","hazard","Third-Party and Supply-Chain Risk","Concentration risk in a small number of shared SaaS, DMS, payment, and identity-provider vendors means a single compromise can simultaneously affect thousands of retail/consumer-services businesses.","Compromise of shared SaaS/DMS/CRM platforms serving many retailers at once | IT help-desk/outsourced support vendor compromise | Payment processor or gateway compromise | Franchise/multi-brand holding-company shared infrastructure | Fourth-party risk from vendors' own vendors"
"Retail Trade and Consumer Services","hazard","Insider and Human-Factor Risk","Sophos data shows retail has the highest rate of any surveyed sector attributing root cause to ""lack of in-house security expertise,"" reflecting thin IT/security staffing relative to large distributed physical footprints.","Under-resourced in-house security teams relative to store/location count | Susceptibility of frontline/call-center/help-desk staff to social engineering | High employee turnover complicating access management and training | Malicious or negligent insider access at franchise/third-party locations"
"Retail Trade and Consumer Services","hazard","Regulatory, Legal, and Disclosure Exposure","Consumer-facing businesses face a dense, overlapping set of breach-notification, payment-card, and consumer-protection obligations that amplify post-incident cost and litigation risk beyond the direct technical recovery.","PCI-DSS liability for payment card data exposure | State/federal breach-notification requirements (and UK/EU GDPR for multinational retailers) | Securities disclosure obligations for public companies (SEC 8-K, equivalent UK/other filings) | Class-action and consumer-litigation exposure over PII/loyalty-data theft | Regulatory scrutiny of ransom payments (OFAC-type sanctions risk on payment recipients)"
"Retail Trade and Consumer Services","hazard","Reputational and Customer-Trust Risk","Because purchase decisions in retail and consumer services are discretionary and brand-sensitive, publicized ransomware incidents translate directly into measurable revenue and market-value loss, distinct from the direct IR/ransom cost.","Customer churn and reduced footfall/online conversion post-incident | Stock price / market capitalization impact for public companies | Loyalty-program member attrition after data-theft disclosure | Franchise/brand-license reputational spillover across independently owned locations"
"Retail Trade and Consumer Services","exposure","Point-of-Sale (POS) and Payment Systems","In-store POS terminals, payment gateways/processors, e-commerce checkout flows, and PCI-scoped cardholder data environments. Encryption or manipulation of these systems can halt in-store sales entirely; breach of stored/tokenized card data drives PCI-DSS liability.","In-store POS terminals and card readers | Payment gateway / processor integrations | E-commerce checkout and shopping-cart platforms | Tokenization/PCI cardholder data environments | Gift card and loyalty-point redemption systems"
"Retail Trade and Consumer Services","exposure","Customer Data and CRM/Loyalty Platforms","Centralized repositories of customer PII, purchase history, and loyalty-program data, increasingly hosted in third-party SaaS/CRM platforms (e.g., Salesforce) that have become a primary extortion target independent of on-prem encryption.","Loyalty/membership program databases (names, DOB, contact info) | CRM/SaaS platforms (e.g., Salesforce instances, connected apps/OAuth grants) | Marketing and email/SMS platforms | Customer service and call-center/ticketing systems | Website account credentials and stored preferences"
"Retail Trade and Consumer Services","exposure","Supply Chain, Inventory, and Store Operations Systems","ERP, warehouse management, automated ordering, and inventory/replenishment systems whose disruption forces retailers back to manual, paper-based operations - the single biggest driver of revenue loss in major incidents like M&S.","ERP / enterprise resource planning platforms | Warehouse management and logistics/routing systems | Automated stock replenishment and ordering systems | Store network and in-store IT infrastructure (self-checkout, digital signage) | Click-and-collect / omnichannel fulfillment systems"
"Retail Trade and Consumer Services","exposure","Third-Party, Franchise, and Vendor/Dealer Networks","Retail and consumer-services businesses depend heavily on shared platforms (DMS/SaaS providers), franchise networks, and outsourced IT help desks, creating single points of failure that can cascade an attack on one vendor into thousands of affected businesses.","Shared SaaS/dealer-management-system providers (e.g., DMS platforms for auto dealers) | Franchise and multi-location operator networks | Outsourced/third-party IT help desks and identity providers (Okta and similar) | Payment processors and financial intermediaries | Marketing, loyalty, and analytics vendors with data-sharing access"
"Retail Trade and Consumer Services","exposure","Employee and HR Data","Large, often lower-wage, high-turnover workforces mean retailers and consumer-services firms hold extensive employee PII, frequently a secondary but highly damaging data-theft target.","Social Security numbers and government ID scans | Payroll and W-2/tax records | Benefits and background-check data | Time-and-attendance / scheduling system data"
"Retail Trade and Consumer Services","exposure","Physical and Building-Adjacent Operational Technology","Consumer-services subsectors (grocery, hospitality, fitness, healthcare-adjacent services) operate physical/IoT systems whose disruption creates safety and spoilage risk beyond pure data loss.","Refrigeration/HVAC and building management systems (grocery, food service) | Digital key/access-card systems (hospitality/casino) | Warehouse robotics and automated fulfillment hardware | Fitness/wellness facility access and scheduling systems"
"Retail Trade and Consumer Services","exposure","Brand, Product, and Intellectual Property Data","Unreleased product designs, pricing strategy, and brand assets are targeted for extortion leverage distinct from customer-data theft, particularly in fashion/apparel and consumer product goods.","Unreleased product designs and merchandising plans | Pricing and promotional strategy documents | Supplier/vendor contracts and cost data | Brand and marketing creative assets"
"Telecommunications","hazard","Initial Access Vectors","How ransomware and extortion actors most commonly get into telecom environments, per the incidents and DBIR/Cyble data reviewed.","Infostealer-harvested employee/admin credentials (WOW!/Arkana; Orange Spain RIPE-account takeover) | Exploitation of internet-facing edge devices, VPNs and collaboration platforms (Colt/Orange - SharePoint CVE-2025-53770; DBIR notes 8x rise in edge/VPN exploitation, only 54% patched) | Phishing and social engineering leading to hijacked Domain Admin accounts (Telecom Argentina/REvil) | Compromised third-party/vendor or subcontractor credentials (Bell Technical Solutions/Hive) | Rapid weaponization of zero-day/critical vulnerabilities in internet-facing network equipment (Cyble finding) | Stolen or weak administrative credentials (TSTT/RansomEXX)"
"Telecommunications","hazard","Extortion Tactics","The spectrum of pressure techniques used against telecom victims, which increasingly skew toward pure data extortion over encryption.","Double extortion: encryption plus data exfiltration (RansomEXX/TSTT, Yanluowang/Cincinnati Bell) | Pure data-leak/'pay-or-leak' extortion with no encryption (Arkana/WOW!, ShinyHunters/American Tower, ShinyHunters/Charter) | Public shaming, 'wall of shame' and doxxing tactics (Arkana Security's stated model) | Proof-of-hack demonstration videos and backend-access showcases (Arkana/WOW!) | Reupload/re-extortion of previously leaked data by a different or same group (SK-Telecom 'data reuploaded' listing) | Deadline-driven negotiation windows escalating ransom demands over time (Telecom Argentina's $7.5M to $15M escalation)"
